               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055684,            0.030902,            0.044636,             0.31885,             0.71999,             0.21398,             0.12101,            0.023214,            0.011187,            0.022707,             0.07007,           0.0033256,           0.0033256
                   1,            0.041849,            0.022663,            0.034414,             0.30946,             0.71963,             0.34591,             0.20287,            0.023084,           0.0097018,            0.018624,            0.039938,           0.0065271,           0.0065271
                   2,            0.038537,            0.020764,            0.030929,               0.444,             0.65293,             0.56832,             0.35385,            0.022245,           0.0094804,            0.016749,           0.0096742,           0.0095965,           0.0095965
                   3,            0.035398,            0.020256,            0.026896,             0.72592,              0.8604,             0.82398,             0.56812,            0.018346,           0.0093781,            0.010873,            0.009406,            0.009406,            0.009406
                   4,            0.032922,             0.01973,            0.022947,             0.82039,             0.87065,             0.87187,             0.60129,            0.018779,            0.009002,           0.0085298,            0.009406,            0.009406,            0.009406
                   5,            0.030696,            0.019239,            0.020972,             0.78441,             0.93432,             0.87274,             0.61375,             0.01825,            0.008761,           0.0090249,            0.009208,            0.009208,            0.009208
                   6,            0.029977,             0.01887,            0.020279,             0.82217,             0.90676,             0.87194,             0.61086,            0.017876,           0.0089663,           0.0080141,             0.00901,             0.00901,             0.00901
                   7,            0.029264,            0.018573,            0.019023,             0.82831,             0.92635,             0.87797,             0.64385,            0.016902,           0.0085521,           0.0076962,            0.008812,            0.008812,            0.008812
                   8,            0.028652,            0.018164,            0.018531,             0.89245,              0.8991,             0.91994,             0.65595,            0.017126,           0.0084473,            0.006388,            0.008614,            0.008614,            0.008614
                   9,            0.028263,            0.017844,            0.017699,             0.90393,             0.93892,             0.95454,             0.69331,             0.01662,           0.0084834,           0.0063296,            0.008416,            0.008416,            0.008416
                  10,            0.027745,            0.018065,            0.017036,             0.91393,             0.92495,             0.94571,             0.70018,            0.016798,           0.0083257,           0.0062751,            0.008218,            0.008218,            0.008218
                  11,            0.027551,            0.017704,            0.016384,             0.92747,             0.96842,             0.96904,             0.72626,            0.016398,           0.0083012,           0.0058298,             0.00802,             0.00802,             0.00802
                  12,            0.027046,            0.017606,            0.015723,             0.95007,             0.93051,             0.96122,             0.71936,            0.016291,           0.0081202,           0.0057102,            0.007822,            0.007822,            0.007822
                  13,            0.026868,            0.017704,            0.015674,             0.92599,             0.95432,             0.96236,             0.71466,            0.016408,            0.008466,           0.0059047,            0.007624,            0.007624,            0.007624
                  14,            0.026712,            0.017548,             0.01499,             0.94215,             0.94889,             0.96519,             0.73671,            0.016214,           0.0081192,           0.0053812,            0.007426,            0.007426,            0.007426
                  15,            0.026331,            0.017468,            0.014454,             0.91746,             0.97047,             0.96476,             0.71324,            0.015966,           0.0081511,           0.0057825,            0.007228,            0.007228,            0.007228
                  16,            0.026092,            0.017501,            0.014427,             0.93911,             0.96674,             0.97196,             0.73945,            0.015793,           0.0080243,           0.0053553,             0.00703,             0.00703,             0.00703
                  17,             0.02592,            0.017208,            0.014188,             0.95764,             0.95362,             0.96717,             0.74297,            0.015841,           0.0080075,           0.0052939,            0.006832,            0.006832,            0.006832
                  18,            0.025973,            0.016939,            0.014038,             0.93629,             0.97952,             0.97906,             0.73386,             0.01608,           0.0081042,           0.0053887,            0.006634,            0.006634,            0.006634
                  19,            0.025545,             0.01711,            0.014136,             0.92637,             0.96364,             0.97094,             0.73084,            0.015968,           0.0080357,           0.0049542,            0.006436,            0.006436,            0.006436
                  20,            0.025392,            0.016881,            0.013989,             0.94787,             0.96148,             0.97357,             0.74257,            0.015768,           0.0080683,           0.0058293,            0.006238,            0.006238,            0.006238
                  21,            0.025293,            0.016686,             0.01331,             0.93881,             0.97729,             0.97294,             0.74911,            0.015647,           0.0078824,           0.0054256,             0.00604,             0.00604,             0.00604
                  22,            0.025013,            0.016614,            0.012628,             0.94542,             0.95783,             0.97049,             0.74509,            0.015729,           0.0079919,           0.0052209,            0.005842,            0.005842,            0.005842
                  23,            0.025163,            0.016848,            0.012739,              0.9238,             0.97398,             0.96976,             0.73426,            0.015548,           0.0079559,           0.0058744,            0.005644,            0.005644,            0.005644
                  24,            0.024886,            0.016674,            0.012865,             0.93706,             0.97319,              0.9739,             0.74713,            0.015785,           0.0078766,           0.0048423,            0.005446,            0.005446,            0.005446
                  25,            0.024644,            0.016547,            0.013129,             0.94944,             0.96971,              0.9744,              0.7476,            0.015731,           0.0079419,           0.0049305,            0.005248,            0.005248,            0.005248
                  26,            0.024395,             0.01648,            0.011875,             0.94699,             0.97238,             0.97257,             0.75204,             0.01544,           0.0079616,           0.0047989,             0.00505,             0.00505,             0.00505
                  27,            0.024254,             0.01671,            0.011831,              0.9516,             0.95606,             0.96812,             0.74732,            0.015523,           0.0078441,           0.0052282,            0.004852,            0.004852,            0.004852
                  28,            0.024205,            0.016471,             0.01203,             0.93874,             0.98362,             0.97765,             0.75746,            0.015474,           0.0078259,           0.0050886,            0.004654,            0.004654,            0.004654
                  29,            0.024164,            0.016348,            0.012064,             0.96226,             0.96892,             0.97822,             0.75524,            0.015293,             0.00785,           0.0047201,            0.004456,            0.004456,            0.004456
                  30,            0.023937,            0.016436,            0.011523,              0.9655,             0.97669,             0.98064,             0.76064,            0.015453,           0.0077623,           0.0050109,            0.004258,            0.004258,            0.004258
